ID,Title,Year,Director,Writer,Genre,Audience Rating,Movie Rating,Duration,Production,Release Date at Theaters,Release Date on DVD,Box Office Revenue,Cast,Description
86,"Happily N'ever After,
                Happily N'ever After",(2006),Paul J. Bolger,"Rob Moreland,Robert Moreland","Animation,Comedy,Kids & Family,Science Fiction & Fantasy",",
            2.9/5","PG (for some mild action and rude humor),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",,Lionsgate,"Dec 16, 2006","May 1, 2007","$151,873,410.00","Sarah Michelle Gellar,
                Freddie Prinze Jr.,
                Andy Dick,
                Wallace Shawn,
                Patrick Warburton,
                George Carlin,
                Sigourney Weaver,
                Michael McShane,
                Jon Polito,
                John DiMaggio,
                Kathy Lamkin,
                Marietta Marich,
                Lisa Kaplan,
                Cyia Batten,
                Jill Talley,
                Lew Temple,
                Tom Kenny,
                Tress MacNeille,
                Phil Proctor,
                Robert F. Paulsen,
                Kath Soucie","Cinderella's wicked stepmother has tipped the balance of power toward the dark side in Fairy Tale Land, and now it's up to the put-upon princess to restore order and ensure that good triumphs in an animated adventure featuring the voices of Sarah Michelle Gellar, Freddie Prinze Jr., Sigourney Weaver, and George Carlin. For years, the Wise Wizard has worked hard to ensure that the scales of good and evil were always well-balanced, but as with any hard worker the Wise Wizard needs a relaxing vacation every once in a while. When the Wise Wizard goes on holiday, his faithful assistants Munk and Mambo make the crucial mistake of allowing Cinderella's wicked stepmother, Frieda, come into possession of their master's magical staff. With time fast running out before Frieda casts a shadow of darkness and sorrow over Fairy Tale Land, Cinderella must now awaken from her romantic dreams to take on her fearsome stepmother with a little help from her best friend, Rick, and a virtual army of heroic dwarves and fairies. ~ Jason Buchanan, Rovi"
87,"Beatdown,
                Beatdown",(2010),"Mike Gunther,Michael Gunther","Mike Gunther,Bobby Mort",Action & Adventure,",
            2.7/5","R (for strong bloody fights, language and some nudity),
        ,
        ,",,,"Aug 31, 2010",90 minutes,LionsGate Entertainment,"Rudy Youngblood,
                Danny Trejo,
                Eric Balfour,
                Hans Marrero,
                Susie Abromeit,
                Michael Bisping,
                Jeff Gibbs,
                Heath Herring,
                Bobby Lashley,
                Bryan Massey,
                Mike ""Quick"" Swick,
                Kyle Woods,
                Jace Jeanes,
                Michael Swick","A young street fighter flees the city in order to escape from a vicious gangster, and stumbles into a whole new world of problems while brawling to raise the money needed to settle his late brother's debts. When Brandon's brother Frankie was murdered, he was carrying the $40,000 he owed to a local gangster. Now the money is nowhere to be found, and Brandon has just one week to pay up, or suffer the consequences. Panicked, Brandon flees to his father's house outside of the city, and learns of a local underground fight club that could be his ticket to freedom. When Brandon meets former MMA champion Drake Colby, the pair hatches a plan to raise the money fast, or die trying."
88,Vengeance,(2013),Gil Medina,Gil Medina,"Action & Adventure,Drama",",
            
                    N/A","R (for strong violence, language and some nudity)",,,,,,,"Jack Santos is a retired detective out to punish the men responsible for the murder of his mother, wife, and daughter (c) Official Facebook"
89,Under Cover,(1987),"John Stockwell,Bill Duke","Jim Piddock,John Stockwell,Margaret Oberman,Scott Fields","Action & Adventure,Drama",",
            2.5/5",R,,,,,,,"When a police officer is killed while investigating the drug trade at a South Carolina high school, his partner, Sheffield (David Neidorf), decides to get even. With the help of officers La Rue (Jennifer Jason Leigh) and Sgt. Irwin Lee (Barry Corbin), Sheffield goes undercover to discover the source of the deadly drugs."
90,"American Pie Presents: Book of Love,
                American Pie Presents: Book of Love",(2009),John Putch,"Adam Herz,David H. Steinberg",Comedy,",
            2.7/5","R,
        ,
        ,",94 minutes,,"Dec 22, 2009","Dec 22, 2009",",","Bug Hall,
                Eugene Levy,
                Rosanna Arquette,
                Brandon Hardesty,
                Kevin M. Horton,
                Melanie Papalia,
                Jennifer Holland,
                John Patrick Jordan,
                Cindy Busby,
                Louisa Lytton,
                Beth Behrs,
                Naomi Hewer,
                Nico McEown,
                Sherman Hemsley,
                Jim Wynorksi,
                Curtis Armstrong","Three East Great Falls High virgins stumble across the mythical ""Book of Love,"" and vow to use the wisdom contained therein to bed the hottest girls in school. Unfortunately the book is in a bad state of disrepair, and in order to reconstruct it the three pals will need to seek the advice of Jim's Dad (Eugene Levy), one of the original authors of the treasured tome."
91,"Blackboard Jungle,
                Blackboard Jungle",(1955),"Richard Brooks,Richard Brooks I",Richard Brooks,"Classics,Drama",",
            3.6/5","NR,
        ,
        ,
    ,
        ,
        ,",88 minutes,,"Mar 25, 1955","May 10, 2005",",","Glenn Ford,
                Anne Francis,
                Louis Calhern,
                Sidney Poitier,
                Margaret Hayes,
                John Hoyt,
                Richard Kiley,
                Maggie Hayes,
                Raphael Campos,
                Emile G. Meyer,
                Warner Anderson,
                Basil Ruysdael,
                Vic Morrow,
                Dan Terranova,
                Rafael Campos,
                Paul Mazursky,
                Horace MacMahon,
                Horace McMahon,
                Jameel Farah,
                Danny Dennis,
                Richard Deacon,
                Dorothy Neumann,
                Chris Randall,
                Virginia Pherrin,
                Chris G. Randall,
                Henny Backus,
                David Alpert,
                Peter Miller,
                Robert Foulk,
                Yoski Tomita,
                Tom McKee,
                Jamie Farr,
                Teddy Infur,
                Warren Hamilton,
                Maggie Hayes,
                Paul Hoffman","This gritty, unflinching film centers on Richard Dadier, a war vet who gets a job teaching in a tough inner-city school. An idealist, he honestly believes he can make a difference with the kids, but unfortunately, he gets no support from the rest of the faculty."
92,Redemption: The Darkness Descending,(2014),Marc Clebanoff,Frank Krueger,"Drama,Mystery & Suspense",",
            
                    N/A",R,,,,,,,"A documentary film maker explores the rumors that there are people living in the vast network of abandoned tunnels beneath New York City, only to discover that not only is the theory true, but one menacing figure from below has declared war on the outside world. ~ Cammila Collar, Rovi"
93,"A Space Program,
                A Space Program",(2016),Van Neistat,"Tom Sachs,Van Neistat",Drama,",
            4.0/5","NR,
        ,
        ,",72 minutes,,"Mar 18, 2016",,",",,"Quirky and creative sculptor Tom Sachs transforms a New York armory into his own ""mission to Mars"", using everyday items to recreate every piece of equipment needed for a mock four-week sojourn on the red planet."
94,After Jimmy,(1996),Glenn Jordan,,"Drama,Television",",
            3.0/5",PG-13,,,,,,,"To their friends and neighbors, the Stapps were the ""perfect"" family--at least until, for no apparent reason, 18-year-old Jimmy Stapp (Peter Fanicelli) committed suicide. The focus in this heartwrenching made-for-TV movie is not on Jimmy but on the ""survivors"",who painfully attempt to put their own lives back together in the wake of the inexplicable tragedy. Worst hit by Jimmy's death is his mother Maggie (Meredith Baxter), who for the first time in her life must reach out to her loved ones for emotional support rather than the other way around. The film is at its best when detailing the vacillating mental state of Jimmy between the time he decides to take his own life and the time he actually does it; less effective is the death scene itself, which is all too reminiscent of the ""baptismal bloodbath"" in The Godfather (the boy shoots himself with his dad's gun while the rest of his family sing a hymn in church). Produced for the CBS network, After Jimmy originally aired September 24, 1996."
95,"The Huntsman: Winter's War,
                The Huntsman: Winter's War",(2016),Cedric Nicolas-Troyan,"Craig Mazin,Evan Spiliotopoulos","Action & Adventure,Drama,Science Fiction & Fantasy",",
            3.2/5","PG-13 (for fantasy action violence and some sensuality),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",121 minutes,,"Apr 22, 2016","Aug 23, 2016",",","Chris Hemsworth,
                Charlize Theron,
                Emily Blunt,
                Jessica Chastain,
                Nick Frost,
                Sam Claflin,
                Rob Brydon,
                Sheridan Smith,
                Alexandra Roach,
                Sope Dirisu,
                Sam Hazeldine,
                Sophie Cookson,
                Conrad Khan,
                Niamh Walter,
                Nana Agyeman-Bediako,
                Amelia Crouch,
                Fred Tatasciore,
                Ralph Ineson,
                Lynne Wilmot,
                Colin Morgan,
                Robert Portal,
                Robert Wilfort,
                David Mumeni,
                Kara Lily Hayworth,
                Madeleine Worrall,
                Osi Okerafor,
                Chinna Wodu,
                Ryan Donaldson,
                Andrew Rothney,
                Tim Delap,
                Antony Acheampong,
                Ian Davies,
                Maya Wasowicz,
                George Watkins,
                Sam Coulson,
                Annie Guy,
                AJ Bediako,
                Natahlia Colbourne,
                Yusuf Hofri,
                Eshan Gopal","Freya the Ice Queen (Emily Blunt) brings her sister Ravenna (Charlize Theron) back to life, and the powerful evil siblings plan to conquer the Enchanted Forest. Only the Huntsman (Chris Hemsworth) and his secret lover Sara (Jessica Chastain) can stop them in this sequel continuing the inventive twist on the Snow White fable."
96,Carny,(2009),Sheldon Wilson,"Douglas G. Davis,Sheldon Wilson","Science Fiction & Fantasy,Television",",
            2.1/5","NR,
        ,
        ,",88 minutes,,,,,,"A traveling carnival unleashes terror in a small Nebraska town when the main attraction manages to break free, and embarks on a carnivorous rampage across the countryside. The locals paid good money to see the abomination known as the Jersey Devil. When the creature escapes, however, their curiosity quickly turns to terror. As local sheriff Sam Atlas (Lou Diamond Phillips) rounds up a posse to track the vicious man-eater, the town pastor hatches his own plan for killing the monster that tore his son to shreds."
97,"Once Upon a Time in the West,
                Once Upon a Time in the West",(1968),Sergio Leone,"Sergio Leone,Sergio Donati","Action & Adventure,Drama,Western",",
            4.3/5","PG-13 (for western violence and brief sensuality),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",165 minutes,,"Dec 21, 1968","Nov 18, 2003",",","Henry Fonda,
                Claudia Cardinale,
                Jason Robards,
                Charles Bronson,
                Frank Wolff,
                Gabriele Ferzetti,
                Keenan Wynn,
                Paolo Stoppa,
                Marco Zuanelli,
                Lionel Stander,
                Jack Elam,
                Woody Strode,
                John Frederick,
                Enzo Santianello,
                Dino Mele,
                Claudio Mancini,
                Benito Stefanelli,
                Salvo Basile,
                Renato Pinciroli,
                Aldo Berti,
                Conrado San Martin ,
                Luigi Ciavarro,
                Livio Andronico,
                Marilu Carteny,
                Spartaco Conversi","In Sergio Leone's epic Western, shot partly in Monument Valley, a revenge story becomes an epic contemplation of the Western past. To get his hands on prime railroad land in Sweetwater, crippled railroad baron Morton (Gabriele Ferzetti) hires killers, led by blue-eyed sadist Frank (Henry Fonda), who wipe out property owner Brett McBain (Frank Wolff) and his family. McBain's newly arrived bride, Jill (Claudia Cardinale), however, inherits it instead. Both outlaw Cheyenne (Jason Robards) and lethally mysterious Harmonica (Charles Bronson) take it upon themselves to look after Jill and thwart Frank's plans to seize her land. As alliances and betrayals mutate, it soon becomes clear that Harmonica wants to get Frank for another reason -- it has ""something to do with death."" As in his ""Dollars"" trilogy, Leone transforms the standard Western plot through the visual impact of widescreen landscapes and the figures therein. At its full length, Once Upon a Time in the West is Leone's operatic masterwork, worthy of its legend-making title. ~ Lucia Bozzola, Rovi"
98,"Bravetown,
                Bravetown",(2015),Daniel Duran,Oscar Orlando Torres,Romance,",
            3.3/5","R (for some language, drug use amd brief sexuality),
        ,
        ,
    ,
        ,
        ,
    ,
                            ,",112 minutes,,"May 8, 2015","Jun 15, 2015",",","Josh Duhamel,
                Laura Dern,
                Lucas Till,
                Kherington Payne,
                Maria Bello,
                Tom Everett Scott,
                Jae Head,
                Katie Norman,
                Sharlene Taulé,
                Shamier Anderson,
                Katrina Katie Norman,
                Ali Tataryn,
                Brittany Scobie,
                Paul Essiembre,
                Gabriel Benitez,
                Melanie Mah,
                Denzel Taylor,
                Christopher ""War"" Martinez,
                Genie Baffoe,
                Tucker Barkley,
                Winnie Chang,
                Kaitlin Fehr,
                Jonel Fabro,
                Winston Minge,
                Kiara Gudgeon,
                Jessa Doll,
                Michelle Dawley,
                Mark Gomez,
                Kevin Anderson,
                Michael Groot,
                Alex Schween,
                Tom Anniko,
                Lara Sebastian,
                Ivy Chatelain,
                Nicolas Simard,
                Daryl Dorge,
                Matthew Enns,
                Katie Baines,
                Danielle Brokopp,
                Na'tasha Marie Evans,
                Cole Humphrey,
                Jaydee-Lynn, McDougall,
                Jo Roy,
                Adam Hurtig,
                Ashlee Stapleton,
                Lorraine James,
                Desiree Joyal,
                Pam Wellington,
                Peter Aiello,
                Micah Kennedy,
                Mark Domingo,
                Omar Alex Khan,
                Kim Eguet,
                Damien Lavergne,
                Miranda Ferris,
                Garth Merkeley,
                Mandy Keating,
                Ernie Pitts,
                Jesse Posthumus,
                Derek Wilson,
                Aubrey Siller,
                Kalliane Bremault,
                Natalie Lyons,
                Jan Skene,
                Richard Dean Thomas,
                Tatiana Parker,
                Aimee Payne,
                Leigh Truant,
                Megan Trainer,
                Darren Wall,
                Michael Wilson Morgan,
                Warren Ellis,
                Alan MacPherson","Josh Harvest, a hardened New York City teen from a broken home - and quietly one of the country's top dance club DJs and remixers - is sentenced to counseling for a minor drug infraction, along with an extended stay with his estranged father, who lives in a small town in North Dakota. He is slow to warm to his new environment, a town best-known for sending its young off to war, many of whom never return. But when Josh is asked to help out the last-place dance team as they vie for the state competition title, his rough exterior begins to soften. As his relationships emerge with both the team's captain, Mary, and his therapist, each of whom have lost someone special to war, it forces all three to begin to face and heal their pasts. (C) eOne"
99,"People Like Us,
                People Like Us",(2012),Alex Kurtzman,"Alex Kurtzman,Jody Lambert,Roberto Orci","Comedy,Drama",",
            3.5/5","PG-13 (for language, some drug use and brief sexuality),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",,Dreamworks Pictures,"Jun 29, 2012","Oct 2, 2012","$12,431,792.00","Elizabeth Banks,
                Chris Pine,
                Michael Hall D'Addario,
                Michelle Pfeiffer,
                Olivia Wilde,
                Mark Duplass,
                Sara Mornell,
                Philip Baker Hall,
                Dean Chekvala,
                Barbara Eve Harris,
                David Burrus,
                Joseph Wise,
                Devin Brochu,
                Gabriela Milla,
                Abhi Sinha,
                Jon Favreau,
                Rob Brownstein,
                Christiann Castellanos,
                Darren O'Hare,
                Maximilian Osinski,
                Leshay Tomlinson Boyce,
                Paul Sanchez,
                Freddie Francis,
                Stephanie Bast,
                Shaughn Buchholz,
                Pippa Hinchley,
                David Kelsey,
                LeRoy Mobley,
                Nick Smoke,
                Amanda Young,
                Scott Weintraub,
                Aaron Farb,
                Sonya Leslie,
                Alexander Leeb,
                Katherine Sigismund,
                Sheila Shaw,
                Katy Boyer,
                Peggy Lynn Moore,
                Liza Del Mundo,
                Michael D. Parr,
                Omar Vega,
                Tara Inden,
                James Hosney,
                Dave Zyler,
                Moosie Drier,
                Rif Hutton,
                Steve Alterman,
                Liza Richardson,
                Matt Dunkley","From DreamWorks Pictures comes People Like Us, a drama/comedy about family, inspired by true events, starring Chris Pine as Sam, a twenty-something, fast-talking salesman, whose latest deal collapses on the day he learns that his father has suddenly died. Against his wishes, Sam is called home, where he must put his father's estate in order and reconnect with his estranged family. In the course of fulfilling his father's last wishes, Sam uncovers a startling secret that turns his entire world upside down: He has a 30-year-old sister Frankie whom he never knew about (Elizabeth Banks). As their relationship develops, Sam is forced to rethink everything he thought he knew about his family-and re-examine his own life choices in the process. -- (C) Dreamworks"
100,"One Last Ride,
                One Last Ride",(2003),Tony Vitale,Patrick Cupo,Drama,",
            
                    N/A","R,
        ,
        ,",88 minutes,,"Dec 31, 2003","Jul 11, 2006",",",,"One man's life begins to crack under the weight of his compulsions in this drama. Michael (Patrick Cupo) works as a salesman for a garment firm in Los Angeles. Michael has a job, a wife named Gina (Anita Barone), and a baby on the way; however, he also has a gambling problem that is threatening to destroy him. As his debts mount, Michael is forced to lie to his boss (Charles Durning) in order to come up with money to pay his bookies, and as the pressures of his job and the coming responsibilities of fatherhood weigh on him, Michael sinks deeper and deeper into his addiction to gambling, always convinced the next bet will be the big win that pulls him out of the hole. One Last Ride was based on a play written by leading man Patrick Cupo."
101,The Tulsa Lynching of 1921: A Hidden Story,(2000),Michael Wilkerson,,Documentary,",
            
                    N/A",PG,,,,,,,
102,The Gun Runners,(1958),Don Siegel,"Paul Monash,Daniel Mainwaring","Action & Adventure,Classics,Drama",",
            3.3/5","NR,
        ,
        ,",,,,,,,"In this actioner, inspired by Hemingway's story To Have and Have Not, a struggling Florida ship captain, unable to make his boat payments by any other means, turns to smuggling arms to Cuba. The film is also called Gunrunners."
103,Kids in the Hall 'Brain Candy',(1999),Kelly Makin,"Mark McKinney,Norm Hiscock,Scott Thompson,Bruce McCulloch,Kevin McDonald","Comedy,Special Interest",",
            3.4/5","R,
        ,
        ,
    ,
        ,
        ,",88 minutes,,,,,,Canadian comedy favorites The Kids in the Hall make their feature-film debut in this acid-laced social satire of modern science and Big Business. The five troupers play 32 roles as they chronicle the desperate attempts of a pharmaceutical company teetering on the brink of financial ruin to stay afloat.
104,"Just Married,
                Just Married",(2003),"Shawn Levy,Meghna Gulzar",Sam Harper,"Comedy,Romance",",
            3.0/5","PG-13 (for sexual content, some crude humor and a brief drug reference),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",,20th Century Fox,"Jan 10, 2003","Jun 17, 2003","$55,992,236.00","Ashton Kutcher,
                Brittany Murphy,
                Christian Kane,
                David Moscow,
                David Rasche,
                Veronica Cartwright,
                Monet Mazur,
                Raymond J. Barry,
                Toshi Toda,
                George Gaynes,
                Thad Luckinbill,
                David Agranov,
                Valeria Andrews,
                Taran Killam,
                Massimo Schina,
                Valaria,
                Alex Thomas,
                Laurent Alexandre,
                Jill Parker-Jones,
                Sandy McCormack,
                Timmy Fitzpatrick,
                Francesco Fantasia,
                Alex Ardenti,
                Robert Branco,
                Joseph Vassallo,
                Roberto Tagliapietra,
                Clement von Franckenstein,
                Anderson Goncalves,
                Guido Foehrweisser,
                Lorenzo Caccialanza,
                Esha Deol,
                Fardeen Khan,
                Kiron Kher,
                Moushumi Chatterjee,
                Natassha","Can a new marriage survive meddling friends, disapproving families, and some of the worst accommodations in Europe? That's the question posed in this broad comedy. Tom Leezak (Ashton Kutcher) is a regular guy who likes sports and beer and tries to make ends meet working as a nighttime radio traffic reporter. Sarah McNerney (Brittany Murphy) is a beautiful young woman from a wealthy and privileged family who is trying to make a name for herself as a writer. Tom and Sarah have seemingly nothing in common, but that doesn't stop them from falling in love. Sarah's family doesn't much care for Tom's boorish ways, and Tom's buddies think Sarah is too highbrow for him, but, if anything, this makes the couple all the more determined to be together, and they decide to get married and head off to Italy for a month-long honeymoon despite the pleas of those closest to them. However, even after the knot is tied, Sarah's former beau, Peter Prentiss (Christian Kane), is dead set upon breaking up the happy couple, though as it turns out, a seemingly endless stream of bad luck and post-marital jitters may do the job for him. Just Married was written by Sam Harper, who claims to have loosely based the script on his own experiences on an ill-starred European honeymoon with his wife; fortunately, the couple's marriage survived the experience. ~ Mark Deming, Rovi"
105,"Hostile Border (Pocha: Manifest Destiny),
                Hostile Border (Pocha: Manifest Destiny)",(2016),Michael Dwyer (X),Kaitlin McLaughlin,Drama,",
            3.8/5","R (for some strong sexual content, nudity, violence and brief strong language),
        ,
        ,
    ,
        ,
        ,
    ,
                            ,",83 minutes,,"Apr 15, 2016","Apr 15, 2016",",","Veronica Sixtos,
                Jesse Garcia (III),
                Jorge A. Jimenez,
                Julio Cedillo,
                Roberto Urbina,
                María del Carmen Farias,
                María del Carmen Farias","Raised in the U.S., Claudia is an undocumented immigrant living beyond her means in a twisted version of the American dream. When she's arrested by the FBI for credit card fraud, Claudia is quickly deported to México. Speaking no Spanish and lost in her foreign ""homeland,"" she reluctantly takes refuge at her estranged father's cattle ranch. As she clashes with her unyielding father, her attempts to return home to the U.S. thrust her into a dangerous bond with a foreign smuggler, Ricky. Caught between her father's sermons, Ricky's promises, and the encroaching military, Claudia must navigate a tightrope of impossible choices. Both a slow burning crime thriller and western, HOSTILE BORDER follows the transformative journey of a young woman confronting the high price of American ideals in the dark places between two cultures"
106,"Playing for Keeps,
                Playing for Keeps",(1986),"Harvey Weinstein,Bob Weinstein","Bob Weinstein,Harvey Weinstein,Jeremy Leven","Comedy,Musical & Performing Arts",",
            2.9/5","PG (adult situations/language, nudity),
        ,
        ,",103 minutes,,"Oct 3, 1986","Aug 12, 2003",",",,"In this comedy drama, three exuberant high-school graduates finally find a direction in life when they decide to fix-up a ramshackle Catskill resort and turn it into a little slice of rock & roll heaven for teens. They work hard to make the repairs and pay the over $8,000 in back taxes. When locals hear of their plans, they misunderstand and try to stop the young men as do wicked industrialists and the corrupt president of the town council who want to use the locale to dump toxic wastes. The lively soundtrack features songs by Phil Collins, Julian Lennon, Arcadia, and Pete Townshend."
107,"Two Rabbits (2 Coelhos),
                Two Rabbits (2 Coelhos)",(2012),Afonso Poyart,"Afonso Poyart,Izaías Almada","Action & Adventure,Art House & International,Mystery & Suspense",",
            3.8/5","NR,
        ,
        ,
    ,
        ,
        ,",,,"Jan 19, 2016",101 minutes,,,"Murder, kidnapping and robbery are all in a day's work for the tangled web of ruthless gangsters, corrupt politicians and shady lawyers in this adrenaline-fueled Brazilian crime saga."
108,"The Zen Of Bennett,
                The Zen Of Bennett",(2012),Unjoo Moon,,"Documentary,Musical & Performing Arts,Special Interest",",
            3.6/5","NR,
        ,
        ,
    ,
        ,
        ,",,,"Nov 19, 2012",84 minutes,",","Tony Bennett,
                Amy Winehouse,
                Andrea Bocelli,
                John Mayer,
                Lady Gaga,
                Aretha Franklin,
                Natalie Cole,
                Danny Bennett,
                Michael Buble","This documentary is a seductive and soulful view into the mind of singer Tony Bennett as well as an intimate portrait of the artist's creative process as he turns 85 years old. In a first person narrative, Tony reflects back over his 60 year career while looking ahead within the context of his latest recording project. We experience inspirational insights as Tony discusses his philosophies of life, lessons learned, and his passion for art and music."
109,"Resident Evil: Retribution,
                Resident Evil: Retribution",(2012),Paul W.S. Anderson,Paul W.S. Anderson,Action & Adventure,",
            3.3/5","R (for sequences of strong violence throughout),
        ,
        ,
    ,
        ,
        ,
    ,
                        ,",,Screen Gems,"Sep 14, 2012","Dec 21, 2012","$42,345,531.00","Sienna Guillory,
                Milla Jovovich,
                Colin Salmon,
                Michelle Rodriguez,
                Kevin Durand,
                Shawn Roberts,
                Johann Urb,
                Boris Kodjoe,
                Bing Bing Li,
                Bingbing Li,
                Aryana Engineer,
                Robin Kasyanov,
                Ofilio Portillo,
                Oded Fehr,
                Toshio Oki,
                Takato Yamashita,
                Mika Nakashima,
                Megan Charpentier,
                Ave Merson-O'Brian,
                Ray Olubowale,
                Kevin Shad,
                Razaaq Adoti,
                Kim Coates,
                Martin Crewes,
                Iain Glen,
                Sandrine Holt,
                Thomas Kretschmann,
                Ali Larter,
                Spencer Locke,
                Eric Mabius,
                Wentworth Miller,
                James Purefoy,
                Norman Yeung,
                Anna Bolt,
                Indra Ove,
                Joseph May,
                Heike Makatsch,
                Liz May Brice,
                Pasquale Aleardi,
                Trevor Jones","The Umbrella Corporation's deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race's last and only hope, Alice (Milla Jovovich), awakens in the heart of Umbrella's most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by newfound allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun. -- (C) Sony"
110,Alongside Night,(2014),J. Neil Schulman,J. Neil Schulman,"Action & Adventure,Drama",",
            
                    N/A",PG-13,,,,,,,"The sci-fi economic disaster/adventure movie Alongside Night takes place at a time of great uncertainty in America. As financial institutions are unable to combat enormous inflation and unemployment, a strict new regime takes power, and quickly begins incarcerating those they oppose. In the midst of this upheaval, a teenage boy attempts to find his missing Nobel-Prize-winning father with the help of his best friend, and a mysterious girl with a gun. The director, J. Neil Schulman, wrote the book on which this movie is based."
111,Ten Years,(2015),"Jevons Au,Chow Kwun-Wai,Fei-Pang Wong,Kwok Zune",,"Art House & International,Drama",",
            3.7/5","NR,
        ,
        ,",,,,,,,"A collection of five short stories; a prophecy, and a fable for Hong Kong. Through their films, five of Hong Kong's young directors are raising questions about the most central issues concerning the city."
112,"The One and Only, Genuine, Original Family Band",(1968),Michael O'Herlihy,Lowell S. Hawley,"Classics,Comedy,Kids & Family",",
            3.4/5","G,
        ,
        ,",110 minutes,,,,,,"Set in 1888 during a Presidential election, this family-oriented Disney musical chronicles the struggle of a Dakota farmer and his musically talented family to wrangle an invite to that year's Democratic convention in cosmopolitan St. Louis. Look closely for Goldie Hawn in her first film role as a laughing chorine."
113,"Love & Friendship,
                Love & Friendship",(2016),Whit Stillman,Whit Stillman,Drama,",
            3.6/5","PG (for some thematic elements),
        ,
        ,
    ,
        ,
        ,",,Westerly Films,"May 13, 2016","Sep 6, 2016","$14,013,564.00","Kate Beckinsale,
                Chloë Sevigny,
                Xavier Samuel,
                Morfydd Clark,
                Emma Greenwell,
                Justin Edwards,
                Stephen Fry,
                Tom Bennett,
                Jenn Murray,
                James Fleet,
                Jemma Redgrave,
                Lochlann O'Mearain,
                Jordan Waller,
                Jordan S. Waller,
                Ross Mac Mahon,
                Ross MacMahon,
                Frank Prendergast,
                Kelly Campbell (III) ,
                Conor Lambert,
                Conor MacNeill,
                Frank Melia,
                Sylvie Benoiton,
                Daniel Magee,
                Rowan Finken,
                David Timbs,
                Laura Whelan,
                James Crerar,
                John Brennan,
                Olivia Fahy,
                Ellie Houlihan,
                Carla McGlynn","Beautiful young widow Lady Susan Vernon visits to the estate of her in-laws to wait out the colourful rumours about her dalliances circulating through polite society. Whilst ensconced there, she decides to secure a husband for herself and a future for her eligible but reluctant daughter, Frederica. In doing so she attracts the simultaneous attentions of the young, handsome Reginald DeCourcy, the rich and silly Sir James Martin and the divinely handsome, but married, Lord Manwaring, complicating matters severely."
114,Not of This World,(1991),"Jon Daniel Hess,Jon Hess,Jon D. Hess",,"Horror,Science Fiction & Fantasy,Television",",
            
                    N/A",NR,,,,,,,"Uh oh. An alien blob has oozed from the sky and is attempting to suck all the electricity from the earth in this sci-fi film. ~ Sandra Brennan, Rovi"
115,Remake,(2014),"Per Gavatin,Andreas Öhman","Andreas Öhman,Per Gavatin",Drama,",
            
                    N/A",NR,,,,,,,
116,"Too Tough to Die: A Tribute to Johnny Ramone,
                Too Tough to Die: A Tribute to Johnny Ramone",(2008),Mandy Stein,,"Documentary,Musical & Performing Arts",",
            3.8/5","PG-13,
        ,
        ,",,,"Nov 4, 2008",80 minutes,Anchor Bay Entertainment,,"Documentary filmmaker Mandy Stein turns her illuminating lens on the benefit concert staged to celebrate the 30th anniversary of punk rock legends the Ramones and raise money for cancer research in a bittersweet rockumentary featuring performances by the Red Hot Chili Peppers, Deborah Harry, and Eddie Vedder, and filmed just two and a half days before Johnny Ramone's untimely death in 2004."
117,"Durak,
                Durak",(2015),Yuriy Bykov,Yuriy Bykov,Drama,",
            4.1/5","NR,
        ,
        ,",,,"Sep 16, 2015",116 minutes,Olive Films,,The Fool is a movie about a simple plumber. He is an honest man that is up against an entire system of corrupt bureaucrats. The lives of 800 inhabitants of an old dormitory that is at risk of collapsing during the night are at stake.
118,"Gracie,
                Gracie",(2007),Davis Guggenheim,"Karen Janszen,Lisa Marie Petersen,Lisa Marie Peterson",Drama,",
            3.3/5","PG-13 (for brief sexual content),
        ,
        ,
    ,
        ,
        ,",,Picturehouse,"Jun 1, 2007","Sep 17, 2007","$2,922,776.00","Carly Schroeder,
                Elisabeth Shue,
                Dermot Mulroney,
                Andrew Shue,
                Joshua Caras,
                Julia Garro,
                Hunter Schroeder,
                Jesse Lee Soffer,
                Trevor Heins,
                Madison Arnold,
                John Doman,
                Christopher Shand,
                Karl Girolamo,
                Emma Bell,
                Peter McRobbie,
                Jack Walker,
                Michael Dean,
                James Biberi,
                Vasilios 'Billy' Mantagas,
                Donny Gray,
                Karl Schellscheidt,
                Lou Sumrall,
                Patrick McRobbie,
                Chris Heuisler,
                Charles Jack Waler,
                C.C. Loveheart,
                Leslie Lyles,
                Tashya Valdevit,
                Jay Patterson,
                Brian Smiar,
                Robens Jerome,
                Dan Metcalfe,
                Josh Caras,
                Laila Liliana","In 1978, a teenage girl fights to play on the boys' varsity soccer team after her brother, a soccer champion, dies. In the process, she wins the right for girls everywhere to play."
